[rosmaster.main][INFO] 2020-08-31 18:31:12,799: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-08-31 18:31:12,799: Starting ROS Master Node
[xmlrpc][INFO] 2020-08-31 18:31:12,813: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-08-31 18:31:12,815: Started XML-RPC server [http://nx:11311/]
[rosmaster.master][INFO] 2020-08-31 18:31:12,815: Master initialized: port[11311], uri[http://nx:11311/]
[xmlrpc][INFO] 2020-08-31 18:31:12,816: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-08-31 18:31:12,843: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:12,846: +PARAM [/roslaunch/uris/host_nx__33497] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,035: +PARAM [/slam_planner_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,036: +PARAM [/slam_planner_node/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,037: +PARAM [/slam_planner_node/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,037: +PARAM [/slamware_ros_sdk_server_node/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,037: +PARAM [/slam_planner_node/global_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,038: +PARAM [/slamware_ros_sdk_server_node/map] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,038: +PARAM [/slam_planner_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,039: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,039: +PARAM [/slam_planner_node/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,039: +PARAM [/slam_planner_node/global_costmap/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,040: +PARAM [/slam_planner_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,040: +PARAM [/slam_planner_node/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,040: +PARAM [/slam_planner_node/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:31:13,040: +PARAM [/slamware_ros_sdk_server_node/fixed_odom_map_tf] by /roslaunch
