[rosmaster.main][INFO] 2020-08-30 16:18:12,261: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-08-30 16:18:12,261: Starting ROS Master Node
[xmlrpc][INFO] 2020-08-30 16:18:12,264: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-08-30 16:18:12,265: Started XML-RPC server [http://tx2:11311/]
[rosmaster.master][INFO] 2020-08-30 16:18:12,266: Master initialized: port[11311], uri[http://tx2:11311/]
[xmlrpc][INFO] 2020-08-30 16:18:12,266: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-08-30 16:18:12,345: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-08-30 16:18:12,349: +PARAM [/roslaunch/uris/host_tx2__39295] by /roslaunch
[rosmaster.master][INFO] 2020-08-30 16:18:12,464: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-08-30 16:18:12,465: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-08-30 16:18:12,480: +SERVICE [/rosout/get_loggers] /rosout http://tx2:38297/
[rosmaster.master][INFO] 2020-08-30 16:18:12,482: +SERVICE [/rosout/set_logger_level] /rosout http://tx2:38297/
[rosmaster.master][INFO] 2020-08-30 16:18:12,486: +PUB [/rosout_agg] /rosout http://tx2:38297/
[rosmaster.master][INFO] 2020-08-30 16:18:12,493: +SUB [/rosout] /rosout http://tx2:38297/
[rosmaster.master][INFO] 2020-08-30 16:18:22,260: +PUB [/rosout] /rviz_1598775502250930667 http://tx2:45373/
[rosmaster.master][INFO] 2020-08-30 16:18:22,262: +SERVICE [/rviz_1598775502250930667/get_loggers] /rviz_1598775502250930667 http://tx2:45373/
[rosmaster.master][INFO] 2020-08-30 16:18:22,263: +SERVICE [/rviz_1598775502250930667/set_logger_level] /rviz_1598775502250930667 http://tx2:45373/
[rosmaster.master][INFO] 2020-08-30 16:18:22,281: publisherUpdate[/rosout] -> http://tx2:38297/ ['http://tx2:45373/']
