[rosmaster.main][INFO] 2024-10-25 19:39:16,548: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-10-25 19:39:16,549: Starting ROS Master Node
[xmlrpc][INFO] 2024-10-25 19:39:16,551: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-10-25 19:39:16,553: Started XML-RPC server [http://nx:11311/]
[rosmaster.master][INFO] 2024-10-25 19:39:16,553: Master initialized: port[11311], uri[http://nx:11311/]
[xmlrpc][INFO] 2024-10-25 19:39:16,554: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-10-25 19:39:16,595: +PUB [/rosout] /map_saver http://nx:44411/
[rosmaster.master][INFO] 2024-10-25 19:39:16,596: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,599: +SERVICE [/map_saver/get_loggers] /map_saver http://nx:44411/
[rosmaster.master][INFO] 2024-10-25 19:39:16,601: +PARAM [/roslaunch/uris/host_nx__39317] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,603: +SERVICE [/map_saver/set_logger_level] /map_saver http://nx:44411/
[rosmaster.master][INFO] 2024-10-25 19:39:16,619: +SUB [/map] /map_saver http://nx:44411/
[rosmaster.master][INFO] 2024-10-25 19:39:16,809: +PARAM [/slam_planner_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,811: +PARAM [/slam_planner_node/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,811: +PARAM [/slam_planner_node/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,812: +PARAM [/slamware_ros_sdk_server_node/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,812: +PARAM [/slam_planner_node/global_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,812: +PARAM [/slamware_ros_sdk_server_node/map] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,813: +PARAM [/slam_planner_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,814: +SERVICE [/rosout/get_loggers] /rosout http://nx:35667/
[rosmaster.master][INFO] 2024-10-25 19:39:16,815: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,816: +PARAM [/slam_planner_node/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,817: +SERVICE [/rosout/set_logger_level] /rosout http://nx:35667/
[rosmaster.master][INFO] 2024-10-25 19:39:16,818: +PARAM [/slam_planner_node/global_costmap/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,820: +PARAM [/slam_planner_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,821: +PARAM [/slam_planner_node/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,822: +PUB [/rosout_agg] /rosout http://nx:35667/
[rosmaster.master][INFO] 2024-10-25 19:39:16,822: +PARAM [/slam_planner_node/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,824: +PARAM [/slamware_ros_sdk_server_node/fixed_odom_map_tf] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,825: +PARAM [/slam_planner_node/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,826: +PARAM [/slamware_ros_sdk_server_node/laser_frame] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,827: +PARAM [/slamware_ros_sdk_server_node/odom] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,830: +PARAM [/slam_planner_node/TrajectoryPlannerROS/publish_cost_grid_pc] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,830: +PARAM [/slam_planner_node/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,832: +PARAM [/slamware_ros_sdk_server_node/map_pub_period] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,833: +SUB [/rosout] /rosout http://nx:35667/
[rosmaster.master][INFO] 2024-10-25 19:39:16,833: +PARAM [/slam_planner_node/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,834: +PARAM [/slamware_ros_sdk_server_node/robot_frame] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,835: +PARAM [/slam_planner_node/TrajectoryPlannerROS/sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,835: +PARAM [/slam_planner_node/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,836: +PARAM [/slam_planner_node/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,836: +PARAM [/slamware_ros_sdk_server_node/cmd_vel] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,836: +PARAM [/slam_planner_node/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,837: +PARAM [/slamware_ros_sdk_server_node/robot_pose_pub_period] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,837: +PARAM [/slam_planner_node/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,837: +PARAM [/slamware_ros_sdk_server_node/map_metadata] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,838: +PARAM [/slam_planner_node/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,838: +PARAM [/slam_planner_node/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,838: +PARAM [/slam_planner_node/TrajectoryPlannerROS/prune_plan] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,839: +PARAM [/slam_planner_node/TrajectoryPlannerROS/meter_scoring] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,839: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_lookahead] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,839: +PARAM [/slam_planner_node/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,840: +PARAM [/slam_planner_node/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,840: +PARAM [/slam_planner_node/global_costmap/max_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,841: +PARAM [/slam_planner_node/TrajectoryPlannerROS/angular_sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,841: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,841: +PARAM [/slam_planner_node/local_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,842: +PARAM [/slam_planner_node/local_costmap/scan/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,842: +PARAM [/slam_planner_node/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,843: +PARAM [/slam_planner_node/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,843: +PARAM [/slam_planner_node/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,843: +PARAM [/slam_planner_node/local_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,844: +PARAM [/slam_planner_node/TrajectoryPlannerROS/escape_vel] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,844: +PARAM [/slam_planner_node/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,845: +PARAM [/slam_planner_node/global_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,845: +PARAM [/slam_planner_node/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,846: +PARAM [/slam_planner_node/global_costmap/scan/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,846: +PARAM [/slam_planner_node/global_costmap/scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,846: +PARAM [/slam_planner_node/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,847: +PARAM [/slam_planner_node/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,848: +PARAM [/slam_planner_node/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,848: +PARAM [/slam_planner_node/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,848: +PARAM [/slam_planner_node/local_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,849: +PARAM [/slam_planner_node/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,849: +PARAM [/slam_planner_node/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,850: +PARAM [/slam_planner_node/TrajectoryPlannerROS/max_vel_y] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,850: +PARAM [/slam_planner_node/local_costmap/max_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,850: +PARAM [/slamware_ros_sdk_server_node/global_plan_path] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,851: +PARAM [/slam_planner_node/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,852: +PARAM [/slam_planner_node/TrajectoryPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,852: +PARAM [/slam_planner_node/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,852: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring_timestep] by /roslaunch
[rosmaster.master][INFO] 2024-10-25 19:39:16,853: +PARAM [/slam_planner_node/global_costmap/inflation_radius] by /roslaunch
