[rosmaster.main][INFO] 2024-10-24 19:33:27,783: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-10-24 19:33:27,783: Starting ROS Master Node
[xmlrpc][INFO] 2024-10-24 19:33:27,786: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2024-10-24 19:33:27,788: Master initialized: port[11311], uri[http://nx:11311/]
[xmlrpc][INFO] 2024-10-24 19:33:27,788: Started XML-RPC server [http://nx:11311/]
[xmlrpc][INFO] 2024-10-24 19:33:27,789: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-10-24 19:33:27,834: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:27,837: +PARAM [/roslaunch/uris/host_nx__37271] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,039: +PARAM [/slam_planner_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,039: +PARAM [/slam_planner_node/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,040: +PARAM [/slam_planner_node/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,040: +PARAM [/slamware_ros_sdk_server_node/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,040: +PARAM [/slam_planner_node/global_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,041: +PARAM [/slamware_ros_sdk_server_node/map] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,041: +PARAM [/slam_planner_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,041: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,042: +PARAM [/slam_planner_node/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,042: +PARAM [/slam_planner_node/global_costmap/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-10-24 19:33:28,042: +PARAM [/slam_planner_node/local_costmap/height] by /roslaunch
