[rosmaster.main][INFO] 2020-08-31 18:23:15,526: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-08-31 18:23:15,526: Starting ROS Master Node
[xmlrpc][INFO] 2020-08-31 18:23:15,529: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-08-31 18:23:15,530: Started XML-RPC server [http://nx:11311/]
[rosmaster.master][INFO] 2020-08-31 18:23:15,531: Master initialized: port[11311], uri[http://nx:11311/]
[xmlrpc][INFO] 2020-08-31 18:23:15,531: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-08-31 18:23:15,559: +PUB [/rosout] /map_saver http://nx:43963/
[rosmaster.master][INFO] 2020-08-31 18:23:15,562: +SERVICE [/map_saver/get_loggers] /map_saver http://nx:43963/
[rosmaster.master][INFO] 2020-08-31 18:23:15,564: +SERVICE [/map_saver/set_logger_level] /map_saver http://nx:43963/
[rosmaster.master][INFO] 2020-08-31 18:23:15,576: +SUB [/map] /map_saver http://nx:43963/
[rosmaster.master][INFO] 2020-08-31 18:23:15,611: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,615: +PARAM [/roslaunch/uris/host_nx__45107] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,775: +SERVICE [/rosout/get_loggers] /rosout http://nx:42125/
[rosmaster.master][INFO] 2020-08-31 18:23:15,792: +PARAM [/slam_planner_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,794: +SERVICE [/rosout/set_logger_level] /rosout http://nx:42125/
[rosmaster.master][INFO] 2020-08-31 18:23:15,795: +PARAM [/slam_planner_node/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,797: +PARAM [/slam_planner_node/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,797: +PARAM [/slamware_ros_sdk_server_node/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,798: +PARAM [/slam_planner_node/global_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,799: +PUB [/rosout_agg] /rosout http://nx:42125/
[rosmaster.master][INFO] 2020-08-31 18:23:15,799: +PARAM [/slamware_ros_sdk_server_node/map] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,800: +PARAM [/slam_planner_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,801: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,803: +PARAM [/slam_planner_node/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,806: +PARAM [/slam_planner_node/global_costmap/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,807: +SUB [/rosout] /rosout http://nx:42125/
[rosmaster.master][INFO] 2020-08-31 18:23:15,807: +PARAM [/slam_planner_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,808: +PARAM [/slam_planner_node/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,808: +PARAM [/slam_planner_node/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,809: +PARAM [/slamware_ros_sdk_server_node/fixed_odom_map_tf] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,809: +PARAM [/slam_planner_node/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,809: +PARAM [/slamware_ros_sdk_server_node/laser_frame] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,810: +PARAM [/slamware_ros_sdk_server_node/odom] by /roslaunch
[rosmaster.master][INFO] 2020-08-31 18:23:15,810: +PARAM [/slam_planner_node/TrajectoryPlannerROS/publish_cost_grid_pc] by /roslaunch
