[rosmaster.main][INFO] 2024-11-12 22:47:15,972: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-11-12 22:47:15,972: Starting ROS Master Node
[xmlrpc][INFO] 2024-11-12 22:47:15,975: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-11-12 22:47:15,976: Started XML-RPC server [http://nx:11311/]
[xmlrpc][INFO] 2024-11-12 22:47:15,977: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-11-12 22:47:15,977: Master initialized: port[11311], uri[http://nx:11311/]
[rosmaster.master][INFO] 2024-11-12 22:47:16,051: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,055: +PARAM [/roslaunch/uris/host_nx__37833] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,299: +PARAM [/slam_planner_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,300: +PARAM [/slam_planner_node/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,301: +PARAM [/slam_planner_node/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,301: +PARAM [/slamware_ros_sdk_server_node/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,301: +PARAM [/slam_planner_node/global_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,302: +PARAM [/slamware_ros_sdk_server_node/map] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,302: +PARAM [/slam_planner_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,303: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,303: +PARAM [/slam_planner_node/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,303: +PARAM [/slam_planner_node/global_costmap/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,304: +PARAM [/slam_planner_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,304: +PARAM [/slam_planner_node/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,304: +PARAM [/slam_planner_node/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-11-12 22:47:16,305: +PARAM [/slamware_ros_sdk_server_node/fixed_odom_map_tf] by /roslaunch
